agent_id,NumberOfCalls,sentiment_per_agent,silence_per_agent
963118,471,-23.57000013,0.279426752
597265,306,-11.87000008,0.282941176
954628,255,-6.259999972,0.295647059
198686,288,-4.219999971,0.2778125
971846,137,-4.600000024,0.304963503
429743,319,-17.03000005,0.27354232
232477,137,-2.529999981,0.28919708
233571,356,-13.80999998,0.300758426
922729,384,-9.770000171,0.288619791
581782,147,-4.939999985,0.298707484
828869,352,-10.38,0.3
964561,277,-12.37999992,0.284873646
545730,6,-0.12999999,0.230000007
926719,149,-6.810000004,0.298322148
161354,2,-1.00E-02,0.314999998
388661,231,-9.05999998,0.274025974
852493,375,-17.05000004,0.279199999
961335,87,-2.500000056,0.317011495
391212,351,-7.58000005,0.290085469
668841,257,-6.600000026,0.286031128
698596,295,-9.579999948,0.317694914
336230,152,-5.16,0.274671053
591778,336,-9.37999999,0.272410713
975590,306,-11.56,0.287875817
822981,313,-11.20999996,0.269680511
140146,3,-0.200000007,0.419999987
178998,230,-7.779999971,0.265347826
435972,149,-2.420000006,0.279597315
537208,408,-12.81999984,0.306200981
251770,27,-1.640000006,0.302962962
112609,11,-0.230000012,0.286363641
931734,438,-17.98000006,0.286963471
911766,292,-10.72000007,0.283150684
202868,301,-6.940000003,0.2789701
600666,418,-17.40000006,0.269904306
395062,130,-2.009999987,0.28746154
415030,42,0.620000025,0.349761904
882260,433,-20.32999999,0.295311779
175271,47,-1.969999999,0.301702128
163887,139,-5.589999985,0.305683453
106000,113,-3.629999967,0.274955752
607742,414,-13.76999995,0.290458936
293576,362,-13.04000003,0.293149171
242716,51,-3.399999985,0.275294118
542034,443,-14.94999991,0.283115124
604639,141,-7.560000069,0.26929078
642658,285,-8.399999982,0.26691228
603165,6,0.290000007,0.373333332
558705,2,4.00E-02,0.18
214289,141,-4.319999965,0.273191489
942082,212,-6.799999915,0.283632076
231198,57,-1.639999982,0.294210527
727458,69,-1.179999964,0.297826088
737543,2,0.149999999,0.409999996
797276,145,-7.439999936,0.308827587
992521,46,-0.779999888,0.293043478
796927,178,-6.840000043,0.308146067
239874,6,0.419999994,0.39666666
881424,123,-4.809999937,0.303821136
382032,148,-6.849999897,0.303648648
418648,231,-10.26000008,0.294069265
814757,23,-0.149999997,0.293043477
616850,29,-0.469999995,0.329310346
782403,350,-9.980000008,0.276371428
792482,193,-6.949999884,0.309326424
260681,33,-1.030000001,0.315454545
163203,40,0.250000019,0.301499999
633922,348,-17.94000002,0.285488505
830014,40,-3.020000016,0.286000001
136010,333,-5.550000027,0.284594594
369972,403,-11.44000002,0.290272952
833458,36,-2.109999979,0.270277776
571712,145,-3.920000037,0.264896551
470164,295,-6.739999998,0.287491526
204674,418,-14.60000006,0.290622009
544771,305,-10.17000004,0.292688524
126555,381,-13.44000003,0.301706036
167843,139,-5.289999943,0.296330934
638327,25,-1.750000037,0.297599999
860774,252,-9.730000151,0.288412698
788537,409,-14.97000009,0.264767726
896798,67,-0.639999991,0.254626864
749671,296,-9.849999933,0.279391892
524948,6,-0.350000009,0.283333338
793137,174,-4.179999908,0.286896551
755957,163,-9.120000018,0.274233128
530215,299,-9.349999979,0.278193979
901733,31,-1.859999994,0.304838709
213093,336,-7.739999913,0.280714285
981776,309,-8.30000007,0.284724919
552900,161,-6.499999996,0.271925465
655682,112,-3.690000011,0.292321429
215457,394,-13.04999997,0.279695432
337200,28,-1.249999987,0.353214285
710770,141,-4.689999988,0.290567376
696555,284,-8.060000043,0.263345071
418634,167,-7.12999991,0.299640717
514981,35,7.00E-02,0.282857141
744299,252,-13.1500001,0.283650793
931340,50,-0.359999988,0.324799999
846440,4,0.200000009,0.222499998
524342,112,-4.429999962,0.258035713
119952,249,-5.21999996,0.305461847
176703,159,-5.499999965,0.33289308
719115,331,-7.790000007,0.282990936
537146,222,-9.869999954,0.276126125
949717,40,-1.470000025,0.314499999
816533,278,-8.170000043,0.267302158
184151,42,-2.40999998,0.278333333
981779,227,-7.879999971,0.301057268
419382,62,-1.59000002,0.292096775
717526,313,-8.610000076,0.290191693
668169,265,-5.569999995,0.274037736
958516,4,0.149999999,0.44749999
630891,316,-15.71000005,0.289272153
696673,396,-15.82999999,0.266363636
398990,53,-1.929999981,0.303396227
959023,210,-7.310000034,0.273238094
825827,388,-13.72000002,0.286391752
391553,3,0.249999996,0.433333332
764745,161,-5.100000022,0.313913044
479098,314,-7.850000013,0.276464969
136855,287,-8.689999945,0.29815331
359050,302,-11.58999993,0.29807947
743011,227,-5.290000055,0.267004405
454069,88,-2.250000028,0.332499999
342279,183,-6.860000007,0.273387977
444136,121,-1.879999973,0.305950413
234327,11,-1.110000007,0.234545454
925821,12,-0.419999991,0.290833332
771538,2,-0.170000002,0.32
139291,143,-5.119999988,0.293916084
848681,169,-6.259999994,0.282248522
384932,2,-0.189999998,0.354999989
887241,223,-8.449999973,0.300313902
937566,15,-0.219999997,0.249333333
757377,7,0.200000009,0.342857143
968346,312,-10.06999996,0.287371794
391052,302,-13.7900001,0.300927152
693396,38,-0.430000002,0.315789473
861794,139,-4.04999998,0.307841726
664625,74,-4.210000027,0.28472973
175269,198,-7.050000105,0.291767676
