primary_call_reason,Sentiment,Silence
Voluntary Change,-3.73E-03,0.289599004
Upgrade,-0.016007313,0.277023374
Booking,-1.34E-02,0.260948046
Disability,3.58E-02,0.248635235
ETC,-4.93E-02,0.287563025
Baggage,-1.90E-02,0.250508474
Communications,-3.64E-02,0.303578125
Mileage Plus,-2.72E-02,0.275038455
Voluntary Cancel,-3.09E-02,0.281767268
Checkout,-6.85E-02,0.292309322
Traveler Updates,6.73E-03,0.284717182
Products & Services,-3.41E-02,0.276758703
Post Flight,-6.39E-02,0.297803695
IRROPS,-7.41E-02,0.309403501
Other Topics,-3.85E-03,0.272726161
Unaccompanied Minor,-0.013846154,0.242499999
Digital Support,-4.21E-02,0.285297959
Schedule Change  ,-3.38E-02,0.267222982
Seating,-2.77E-03,0.264612726
Check-In,-4.25E-02,0.262736344
